block,txIndex,logIndex,sender,amount0,amount1,sqrtPriceX96,liquidity,tick,fee
56693050,6,4,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,-100000000000000,241771,3895033616727065245399817,11494586345489,-198418,100
56693417,4,6,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,-38067444511548,91982,3894399616979240737111794,11494586345489,-198421,100
56693611,11,28,0x389ea62455975d38ee210be146a9262b768ddebf,171586074597381,-414923,3897259240875302424936448,11494586345489,-198407,100
56694247,8,43,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,200532020036279,-485691,3900606599507246216035000,11494586345489,-198390,100
56695633,11,30,0x389ea62455975d38ee210be146a9262b768ddebf,-176789948849574,428144,3897655547827350042312704,11494586345489,-198405,100
56695815,10,23,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,13908465568013,-33667,3897887575109981605254363,11494586345489,-198403,100
56696295,16,21,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,253596507978484,-614552,3902123035317363186253661,11494586345489,-198382,100
56697150,21,94,0x2cc4fcb2eb6f02f22ec0fb62ce74859cb4ba3546,352918056585595,-857467,3908032662611719959758184,11494586345489,-198351,100
56697151,21,53,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,-71680000000000,174332,3906831050077705901484799,11494586345489,-198358,100
56697168,7,7,0x389ea62455975d38ee210be146a9262b768ddebf,-169961389943575,412933,3903984841880019977371648,11494586345489,-198372,100
56697981,10,3,0x2411b1e3cc0840aff6b3a28d8bf237855009efa4,124493435003693,-302469,3906069436446329882578084,11494586345489,-198362,100
56698009,17,50,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,98129919289171,-238643,3907714153736953443091876,11494586345489,-198353,100
56698457,16,45,0x389ea62455975d38ee210be146a9262b768ddebf,-168044573136739,408464,3904898749920732313026560,11494586345489,-198368,100
56698732,14,36,0x389ea62455975d38ee210be146a9262b768ddebf,-202152420306808,490591,3901517277146885669257216,11494586345489,-198385,100
56699336,8,25,0x6c440fe2425289bda3f924e5ab93cb7d6830d9cc,140101017244796,-339980,3903860406001160965450820,11494586345489,-198373,100
56699940,8,9,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,105731466883817,-256848,3905630583310156643101943,11494586345489,-198364,100
56700443,7,9,0x389ea62455975d38ee210be146a9262b768ddebf,-208939703817259,507237,3902134369407548721725440,11494586345489,-198382,100
56700471,5,1,0x389ea62455975d38ee210be146a9262b768ddebf,-168468992218211,408327,3899319911853805090635776,11494586345489,-198396,100
56700648,8,9,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,3795999157288,-9196,3899383289772107001376011,11494586345489,-198396,100
56701241,12,37,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,257515423318792,-624538,3903687577486254441235579,11494586345489,-198374,100
56701820,19,31,0x389ea62455975d38ee210be146a9262b768ddebf,-255912531033000,620530,3899410479528905015296000,11494586345489,-198396,100
56702423,20,84,0x389ea62455975d38ee210be146a9262b768ddebf,-189190207489996,457869,3896254540770187042357248,11494586345489,-198412,100
56702701,4,6,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,292140095642509,-707480,3901130454705373657044179,11494586345489,-198387,100
56702701,6,11,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,-253956839501451,614987,3896891562762181643316078,11494586345489,-198409,100
56702932,18,60,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,-89916447276958,217423,3895392939842060223092843,11494586345489,-198416,100
56703383,18,45,0x389ea62455975d38ee210be146a9262b768ddebf,-193413717954471,467119,3892173247704246549217280,11494586345489,-198433,100
56703436,9,15,0x389ea62455975d38ee210be146a9262b768ddebf,-172075348177970,414936,3889313238835749256691712,11494586345489,-198448,100
56703554,14,25,0x389ea62455975d38ee210be146a9262b768ddebf,181177919600844,-436991,3892324957154848920305664,11494586345489,-198432,100
56703913,8,10,0x389ea62455975d38ee210be146a9262b768ddebf,165886255850064,-400703,3895086575635246436319232,11494586345489,-198418,100
56704537,5,100,0x8a952f7e246439773114da6b9fce3d7cc5cd0de0,177186499919534,-428627,3898040648322863817647753,11494586345489,-198403,100
56704632,7,106,0x2cc4fcb2eb6f02f22ec0fb62ce74859cb4ba3546,-347625926879333,840149,3892249790995930089418996,11494586345489,-198432,100
56704632,16,190,0x389ea62455975d38ee210be146a9262b768ddebf,200465487631101,-484282,3895587437552175801171968,11494586345489,-198415,100
56704995,13,27,0x389ea62455975d38ee210be146a9262b768ddebf,150656929442886,-364502,3898099567295939357228523,11494586345489,-198402,100
56705290,13,20,0x389ea62455975d38ee210be146a9262b768ddebf,-166776296759678,403392,3895319124689514148134912,11494586345489,-198417,100
56705464,4,2,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,-1000000000000,2417,3895302464963049145431433,11494586345489,-198417,100
56706186,6,13,0x389ea62455975d38ee210be146a9262b768ddebf,-175090529170824,422880,3892387699800799627444224,11494586345489,-198432,100
56706494,5,7,0x389ea62455975d38ee210be146a9262b768ddebf,170292449512576,-411367,3895222815968629192916992,11494586345489,-198417,100
56706880,3,5,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,-71680154456411,173192,3894029064100598249477849,11494586345489,-198423,100
56706970,4,2,0xa6563baa758a7c39960a339750c89663aadf9fd2,-81262404009984,196216,3892676615345372584157507,11494586345489,-198430,100
56707505,8,67,0x389ea62455975d38ee210be146a9262b768ddebf,-163885839279767,395304,3889951922025225886105600,11494586345489,-198444,100
56708327,4,2,0xa6563baa758a7c39960a339750c89663aadf9fd2,-61819813969920,148970,3888925123711850290103757,11494586345489,-198450,100
56708630,9,10,0x389ea62455975d38ee210be146a9262b768ddebf,169048339838457,-407632,3891734505519559137558528,11494586345489,-198435,100
56709509,16,66,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,-50852263373547,122659,3890889059316095649963009,11494586345489,-198439,100
56709743,12,30,0x389ea62455975d38ee210be146a9262b768ddebf,-169412445972236,408250,3888075134773828415127552,11494586345489,-198454,100
56709744,38,156,0x389ea62455975d38ee210be146a9262b768ddebf,-188580097564385,453746,3884947620429283941416960,11494586345489,-198470,100
56709891,9,16,0x389ea62455975d38ee210be146a9262b768ddebf,182788952395657,-439890,3887979319754283395579904,11494586345489,-198454,100
56710067,7,13,0x389ea62455975d38ee210be146a9262b768ddebf,173024369271009,-417024,3890853428268047443951616,11494586345489,-198440,100
56710152,6,6,0x389ea62455975d38ee210be146a9262b768ddebf,173003509966518,-417591,3893731441912848396058624,11494586345489,-198425,100
56710344,6,13,0x389ea62455975d38ee210be146a9262b768ddebf,-176127830932794,425040,3890801785262694161448960,11494586345489,-198440,100
56710436,10,22,0x389ea62455975d38ee210be146a9262b768ddebf,-221696274162195,534100,3887120418107374142750720,11494586345489,-198459,100
56710550,13,45,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,-49291845764413,118614,3886302851105363553338813,11494586345489,-198463,100
56710748,7,17,0x389ea62455975d38ee210be146a9262b768ddebf,177980494895396,-428608,3889256798385346556461056,11494586345489,-198448,100
56711272,7,13,0x389ea62455975d38ee210be146a9262b768ddebf,-164157582633472,395263,3886532381923205502205952,11494586345489,-198462,100
56711337,3,1,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,-25000000000000,60147,3886117808078647608854005,11494586345489,-198464,100
56711410,4,2,0x389ea62455975d38ee210be146a9262b768ddebf,-181656989842993,436661,3883108052772557856702464,11494586345489,-198479,100
56711617,7,16,0x389ea62455975d38ee210be146a9262b768ddebf,167050736966319,-401608,3885875911174925372620800,11494586345489,-198465,100
56711915,6,13,0x6c440fe2425289bda3f924e5ab93cb7d6830d9cc,-163782165945860,393675,3883162442986382220521768,11494586345489,-198479,100
56711996,7,11,0x389ea62455975d38ee210be146a9262b768ddebf,-185448651251989,445091,3880094585451808391430144,11494586345489,-198495,100
56712000,32,122,0x389ea62455975d38ee210be146a9262b768ddebf,-185107025813331,443569,3877044108153699329638400,11528023881998,-198511,100
56712000,38,157,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,111536385997161,-267245,3878880601124665775197299,11528023881998,-198501,100
56712004,28,107,0x389ea62455975d38ee210be146a9262b768ddebf,-179843782512697,430699,3875920552650562802286592,11528023881998,-198517,100
56712052,11,25,0x389ea62455975d38ee210be146a9262b768ddebf,174454725457962,-417868,3878792124306862641250304,11528023881998,-198502,100
56712120,11,23,0x389ea62455975d38ee210be146a9262b768ddebf,-171105226912896,409768,3875975927706146838675456,11528023881998,-198516,100
56712149,13,106,0x389ea62455975d38ee210be146a9262b768ddebf,-351585194512203,840122,3870202052333608833646592,11528023881998,-198546,100
56712151,31,94,0x389ea62455975d38ee210be146a9262b768ddebf,-258090074665136,615122,3865974528666535077085184,11528023881998,-198568,100
56712152,53,231,0x389ea62455975d38ee210be146a9262b768ddebf,-237649027345904,565216,3862089989224182153478144,11528023881998,-198588,100
56712152,69,285,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,143545483651130,-341337,3864435641054819828613818,11528023881998,-198576,100
56712179,40,145,0x389ea62455975d38ee210be146a9262b768ddebf,-258793032437715,614960,3860209231101403166932992,11528023881998,-198598,100
56712180,35,164,0x6c440fe2425289bda3f924e5ab93cb7d6830d9cc,205231022024771,-487670,3863560483339325516603760,11528023881998,-198580,100
56712258,10,18,0x389ea62455975d38ee210be146a9262b768ddebf,172945710674583,-411613,3866389064296508287877120,11528023881998,-198566,100
56712316,16,40,0x389ea62455975d38ee210be146a9262b768ddebf,179017362523357,-426698,3869321314685685757640704,11528023881998,-198551,100
56712333,11,16,0x389ea62455975d38ee210be146a9262b768ddebf,168173947514244,-401443,3872080007764729049120768,11528023881998,-198536,100
56712361,6,8,0x389ea62455975d38ee210be146a9262b768ddebf,-166572351584414,397541,3869347841468561927176192,11528023881998,-198550,100
56712791,13,30,0x389ea62455975d38ee210be146a9262b768ddebf,-175752127587814,418842,3866469283063012842799104,11528023881998,-198565,100
56713019,17,88,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,-301728457063199,717610,3861537395145028471028322,11528023881998,-198591,100
